country,year,sex,age,suicides_no,population
France,2014,female,55-74 years,744.0,7300857.0
France,2014,female,75+ years,424.0,3677450.0
France,2014,male,15-24 years,282.0,3841223.0
France,2014,male,25-34 years,680.0,3877350.0
France,2014,male,35-54 years,2536.0,8426009.0
France,2014,male,5-14 years,14.0,4069116.0
France,2014,male,55-74 years,1825.0,6655516.0
France,2014,male,75+ years,1324.0,2243922.0
Germany,1995,female,15-24 years,176.0,4487000.0
Germany,1995,female,25-34 years,343.0,6749100.0
Germany,1995,female,35-54 years,983.0,10912900.0
Germany,1995,female,5-14 years,14.0,4455000.0
Germany,1995,female,55-74 years,1266.0,9630800.0
Germany,1995,female,75+ years,884.0,3692800.0
Germany,1995,male,15-24 years,630.0,4738700.0
Germany,1995,male,25-34 years,1452.0,7257600.0
Germany,1995,male,35-54 years,3251.0,11336900.0
Germany,1995,male,5-14 years,38.0,4695200.0
Germany,1995,male,55-74 years,2597.0,8085300.0
Germany,1995,male,75+ years,1254.0,1506200.0
Germany,1996,female,15-24 years,157.0,4430800.0
Germany,1996,female,25-34 years,351.0,6663000.0
Germany,1996,female,35-54 years,937.0,10969800.0
Germany,1996,female,5-14 years,13.0,4475900.0
Germany,1996,female,55-74 years,1249.0,9712700.0
Germany,1996,female,75+ years,790.0,3802500.0
Germany,1996,male,15-24 years,589.0,4670600.0
Germany,1996,male,25-34 years,1441.0,7162600.0
Germany,1996,male,35-54 years,3023.0,11396300.0
Germany,1996,male,5-14 years,36.0,4720200.0
Germany,1996,male,55-74 years,2463.0,8320900.0
Germany,1996,male,75+ years,1176.0,1557200.0
Germany,1997,female,15-24 years,142.0,4408500.0
Germany,1997,female,25-34 years,363.0,6510000.0
Germany,1997,female,35-54 years,931.0,11111600.0
Germany,1997,female,5-14 years,8.0,4451600.0
Germany,1997,female,55-74 years,1175.0,9736500.0
Germany,1997,female,75+ years,802.0,3905400.0
Germany,1997,male,15-24 years,600.0,4633400.0
Germany,1997,male,25-34 years,1345.0,6985900.0
Germany,1997,male,35-54 years,3177.0,11528000.0
Germany,1997,male,5-14 years,28.0,4703100.0
Germany,1997,male,55-74 years,2550.0,8485700.0
Germany,1997,male,75+ years,1135.0,1608200.0
Germany,1998,female,15-24 years,155.0,4413700.0
Germany,1998,female,25-34 years,298.0,6286800.0
Germany,1998,female,35-54 years,855.0,11290200.0
Germany,1998,female,5-14 years,16.0,4418600.0
Germany,1998,female,55-74 years,1048.0,9724400.0
Germany,1998,female,75+ years,701.0,3977300.0
Germany,1998,male,15-24 years,589.0,4635800.0
Germany,1998,male,25-34 years,1251.0,6712100.0
Germany,1998,male,35-54 years,3039.0,11704700.0
Germany,1998,male,5-14 years,34.0,4658200.0
Germany,1998,male,55-74 years,2542.0,8601300.0
Germany,1998,male,75+ years,1126.0,1648000.0
Germany,1999,female,15-24 years,133.0,4447600.0
Germany,1999,female,25-34 years,265.0,6028800.0
Germany,1999,female,35-54 years,877.0,11487800.0
Germany,1999,female,5-14 years,9.0,4375300.0
Germany,1999,female,55-74 years,1045.0,9734700.0
Germany,1999,female,75+ years,749.0,4045200.0
Germany,1999,male,15-24 years,595.0,4669200.0
Germany,1999,male,25-34 years,1132.0,6411800.0
Germany,1999,male,35-54 years,2863.0,11918600.0
Germany,1999,male,5-14 years,26.0,4615600.0
Germany,1999,male,55-74 years,2421.0,8721900.0
Germany,1999,male,75+ years,1045.0,1684700.0
Germany,2000,female,15-24 years,137.0,4500217.0
Germany,2000,female,25-34 years,240.0,5783411.0
Germany,2000,female,35-54 years,834.0,11760414.0
Germany,2000,female,5-14 years,8.0,4328023.0
Germany,2000,female,55-74 years,1020.0,9663487.0
Germany,2000,female,75+ years,698.0,4115856.0
Germany,2000,male,15-24 years,575.0,4709057.0
Germany,2000,male,25-34 years,1002.0,6118772.0
Germany,2000,male,35-54 years,2937.0,12201076.0
